date,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-02-21 00:00:00+00:00,53.303,92.0,51.038143,4.3081317,201.80147,8.0
2025-02-21 01:00:00+00:00,53.843002,90.0,50.978146,3.49285,193.24052,8.3
2025-02-21 02:00:00+00:00,53.663002,91.0,51.09893,4.295346,192.09474,8.9
2025-02-21 03:00:00+00:00,53.483,91.0,50.920937,3.622154,186.3401,9.0
2025-02-21 04:00:00+00:00,53.573,91.0,51.009933,4.554119,188.84174,9.4
2025-02-21 05:00:00+00:00,53.663002,90.0,50.800385,4.8507733,188.29706,10.5
2025-02-21 06:00:00+00:00,53.663002,90.0,50.800385,4.7095647,183.65215,9.8
2025-02-21 07:00:00+00:00,54.113003,87.0,50.32949,5.115662,184.48453,10.4
2025-02-21 08:00:00+00:00,54.023003,87.0,50.240967,5.3600373,171.41646,11.1
2025-02-21 09:00:00+00:00,54.923,83.0,49.85708,6.0207973,175.23645,12.6
2025-02-21 10:00:00+00:00,56.633,74.0,48.441704,6.600757,179.13197,13.8
2025-02-21 11:00:00+00:00,57.443,72.0,48.489727,6.303174,178.18173,14.5
2025-02-21 12:00:00+00:00,58.613,69.0,48.47456,6.3,180.0,13.1
2025-02-21 13:00:00+00:00,59.153,66.0,47.803608,6.328507,185.44025,13.5
2025-02-21 14:00:00+00:00,59.423,65.0,47.65365,6.2289643,185.52745,13.3
2025-02-21 15:00:00+00:00,58.613,67.0,47.68981,6.166036,188.39284,13.3
2025-02-21 16:00:00+00:00,58.073,70.0,48.34188,5.4129477,191.72508,12.7
2025-02-21 17:00:00+00:00,56.903,74.0,48.70221,5.491812,190.49142,11.4
2025-02-21 18:00:00+00:00,56.003,78.0,49.241154,5.021952,192.65256,11.3
2025-02-21 19:00:00+00:00,55.193,81.0,49.465492,4.244997,195.01842,10.2
2025-02-21 20:00:00+00:00,54.653,84.0,49.914867,4.3011627,197.59251,8.8
2025-02-21 21:00:00+00:00,53.933,87.0,50.15244,4.0792155,191.30989,8.8
2025-02-21 22:00:00+00:00,53.843002,86.0,49.752987,4.1,192.68037,8.7
2025-02-21 23:00:00+00:00,53.663002,86.0,49.57618,4.3011627,197.59251,8.8
2025-02-22 00:00:00+00:00,53.483,85.0,49.085728,3.5510561,212.34741,8.4
2025-02-22 01:00:00+00:00,53.033,85.0,48.644302,3.0,216.86998,7.4
2025-02-22 02:00:00+00:00,52.313004,85.0,47.938007,2.6172504,223.45189,6.7
2025-02-22 03:00:00+00:00,51.773003,83.0,46.775787,2.6172504,226.54811,6.1
2025-02-22 04:00:00+00:00,51.053,85.0,46.701942,2.8319604,227.86247,5.9
2025-02-22 05:00:00+00:00,50.063004,86.0,46.039734,2.5,233.13002,6.1
2025-02-22 06:00:00+00:00,49.433,89.0,46.326736,2.1931713,226.8476,5.2
2025-02-22 07:00:00+00:00,49.163002,89.0,46.060413,2.1260293,221.18582,4.5
2025-02-22 08:00:00+00:00,49.343002,89.0,46.237965,2.408319,228.36655,5.0
2025-02-22 09:00:00+00:00,49.793,88.0,46.382423,2.7202942,233.97253,6.6
